SAMPLE_NO,STATION_NO,STATION_NAME,STATION_DESCRIPTION,Dec Lat,Dec Long,STATION_TYPE_CODE,SAMPLE_MATRIX_CODE,SAMPLE_DATETIME,TIME_USABLE_FLAG,SAMPLE_CLASS_INDICATOR,AGENCY_CODE,CARBON TOTAL ORGANIC _TOC,CARBON TOTAL,COLOUR TRUE,NITROGEN TOTAL KJELDAHL _TKN,PHOSPHORUS TOTAL _P,CARBON TOTAL ORGANIC _TOC_1,CARBON DISSOLVED INORGANIC _DIC,NITROGEN TOTAL KJELDAHL _TKN_1,NITROGEN DISSOLVED NO3 _ NO2,NITROGEN TOTAL _CALCD,OXYGEN DISSOLVED,OXYGEN BIOCHEMICAL DEMAND,ALKALINITY TOTAL CACO3,TEMPERATURE WATER _FIELD,AMMONIA DISSOLVED,PHOSPHORUS TOTAL DISSOLVED,ICE THICKNESS,CHLOROPHYLL A,PHEOPHYTIN A,CHLOROPHYLL A_1,HARDNESS TOTAL _CALCD_ CACO3,HARDNESS TOTAL _CALCD_ CACO3_1,TURBIDITY,AMMONIA DISSOLVED_1,TOTAL SUSPENDED SOLIDS,COLOUR TRUE_1,OXYGEN DISSOLVED_1,NITROGEN DISSOLVED NO3 _ NO2_1,SULPHATE DISSOLVED,NITROGEN TOTAL KJELDAHL _TKN_2,NITROGEN DISSOLVED KJELDAHL,PHOSPHORUS TOTAL _P_1,PHOSPHORUS TOTAL DISSOLVED_1,PHOSPHOROUS_TOTAL_ORTHO,PHOSPHORUS PARTICULATE _CALCD,PHOSPHOROUS_ACID HYDROLYZABLE,TOTAL DISSOLVED SOLIDS,CARBON TOTAL_1,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC _TOC_2,CARBON DISSOLVED TOTAL,OXYGEN BIOCHEMICAL DEMAND_1,ALKALINITY TOTAL CACO3_1,ALKALINITY CO3_CALCD,ALKALINITY OH_CALCD,ALKALINITY TOTAL HCO3_CALCD,CONDUCTIVITY _AT 25C,PH,PH_1,CONDUCTIVITY _AT 25C_1,ALKALINITY TOTAL CACO3_2,ALKALINITY CO3_CALCD_1,ALKALINITY OH_CALCD_1,ALKALINITY TOTAL HCO3_CALCD_1,TURBIDITY_1,AMMONIA _NH3,NITRATE_  NITRITE,TOTAL DISSOLVED SOLIDS_1,TOTAL DISSOLVED SOLIDS_2,TOTAL SUSPENDED SOLIDS_1,SOLIDS TOTAL,ALKALINITY TOTAL CACO3_3,ALKALINITY TOTAL CACO3_4,ALKALINITY CO3_CALCD_2,PH_2,CONDUCTIVITY _AT 25C_2,ALKALINITY TOTAL HCO3_CALCD_2,ALKALINITY CO3_CALCD_3,ALKALINITY OH_CALCD_2,ALKALINITY TOTAL HCO3_CALCD_3,ALKALINITY OH_CALCD_3,CONDUCTIVITY _AT 25C_3,PHOSPHORUS TOTAL DISSOLVED_2,PHOSPHORUS PARTICULATE _CALCD_1,PHOSPHORUS DISSOLVED ORTHO,PHOSPHORUS TOTAL _P_2,PHOSPHORUS DISSOLVED ORTHO_1,PHOSPHATE SOLUBLE ORTHO,PHOSPHORUS TOTAL _P_3,PHOSPHORUS PARTICULATE _CALCD_2,PHOSPHORUS TOTAL DISSOLVED_3,SILICA _ DISSOLVED REACTIVE,NITROGEN TOTAL KJELDAHL _TKN_3,CHLOROPHYLL A PHYTOPLANKTON,AMMONIA DISSOLVED_2,AMMONIA DISSOLVED_3,NITROGEN DISSOLVED NO3 _ NO2_2,SULPHATE DISSOLVED_1,SULPHATE DISSOLVED_2,AMMONIA DISSOLVED_4,CARBON DISSOLVED TOTAL_1,CARBON DISSOLVED INORGANIC _DIC_1,CARBON TOTAL_2,CARBON TOTAL INORGANIC_1,CARBON TOTAL ORGANIC _CALCD,CARBON DISSOLVED ORGANIC _CALCD,HARDNESS TOTAL _CALCD_ CACO3_2,NITROGEN DISSOLVED NO3 _ NO2_3,PHOSPHORUS DISSOLVED ORTHO_2,TURBIDITY _FIELD,CONDUCTIVITY _FIELD,TEMPERATURE WATER,PHOSPHOROUS_ ACID HYDROLYZABLE _ ORTHOPHOSPHATE,PHOSPHORUS TOTAL ORGANIC,PHOSPHOROUS_ACID HYDROLYZABLE_1,CHLOROPHYLL A_2,PHEOPHYTIN A_1,HARDNESS TOTAL _CALCD_ CACO3_3,SULPHATE DISSOLVED_3,TOTAL SUSPENDED SOLIDS_2,ODB_ODA _CHLOROPHYLL_A _ PHEOPHYTIN_A RATIO,AMMONIA _NH3_1,PHOSPHORUS TOTAL INORGANIC,NITRATE _NO3_N,NITRITE _NO2_N,SULPHATE _S04,CHLOROPHYLL A_3,PHEOPHYTIN A_2,COLOUR TRUE_2,PHOSPHORUS TOTAL INORGANIC_1,PHOSPHOROUS_TOTAL_ACID REACTIVE,PHOSPHOROUS ACID HYDROLYSES,DEPTH OF WATER
1104CL0324,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,4/18/2011 8:10:00 AM,Y,A,381,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104CL0317,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,4/18/2011 10:30:00 AM,Y,A,381,,,,,,,,,,,,3,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,202,,,,,7.99,447,,,,,,,0.248,,0.244,0.377,,,,,,,1.2,,,,1.81,,,,,,41.7,31.9,9.8,,,,,,,,,,,1.15,0.73,,,,1.4,,,,,,,,,0.351,,0.107,
1104CL0345,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,4/21/2011 10:50:00 AM,Y,A,381,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,,,,152,,,,,8.05,452,,,,,,,0.209,,0.36,0.4,,,,,,,1.39,,,,1.65,,,,,,41,30.9,10.1,,,,,,,,,,,1.91,1.03,,,,1.5,,,,,,,,,0.314,,L0.014,
1104CL0359,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,4/26/2011 8:35:00 AM,Y,A,381,,,,,,,,,,,,2.1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,,,,126,,,,,8.04,524,,,,,,,0.191,,0.212,0.322,,,,,,,1.08,,,,1.55,,,,,,42.7,35.6,7.2,,,,,,,,,,,3.63,L0.6,,,,1.7,,,,,,,,,0.265,,0.053,
1104CL0366,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,4/26/2011 10:10:00 AM,Y,A,381,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104CL0383,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,4/28/2011 9:00:00 AM,Y,A,381,,,,,,,,,,,,1.8,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,,,100,,,,,8.01,561,,,,,,,0.195,,,0.359,,,,,,,1.3,,,,1.34,,,,,,45.5,37.2,8.3,,,,,,,,,,,4.2,L0.6,,,,1.6,,,,,,,,,0.278,0.187,0.091,
1104CL0390,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,4/28/2011 9:00:00 AM,Y,A,381,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104CL0004,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,4/29/2011 7:50:00 AM,Y,A,381,,,,,,,,,,,,1.9,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,,88,,,,,8.11,568,,,,,,,0.194,,0.174,0.263,,,,,,,1,,,,1.3,,,,,,45.4,37.1,8.3,,,,,,,,,,,6.87,1.95,,,,1.5,,,,,,,,,0.242,,0.068,
1104CL0404,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,4/29/2011 7:50:00 AM,Y,A,381,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104CL0411,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/2/2011 9:10:00 AM,Y,A,381,,,,,,,,,,,,3.2,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,270,,,,,8.13,611,,,,,,,0.176,,0.195,0.331,,,,,,,1.75,,,,1.06,,,,,,47.2,39.1,8,,,,,,,,,,,13.7,3.23,,,,1.6,,,,,,,,,0.216,,0.021,
1104CL0418,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/2/2011 9:10:00 AM,Y,A,381,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105CL0143,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/4/2011 9:30:00 AM,Y,A,381,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105CL0135,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/4/2011 2:20:00 PM,Y,A,381,,,,,,,,,,,,2.8,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,180,,,,,8.26,641,,,,,,,0.169,,,0.334,,,,,,,1.66,,,,1.01,,,,,,50.8,40.9,9.8,,,,,,,,,,,22,4.91,,,,1.6,,,,,,,,,0.365,0.17,0.195,
1105CL0161,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/6/2011 11:13:00 AM,Y,A,381,,,,,,,,,,,,2.4,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,,,130,,,,,8.21,666,,,,,,,0.169,,,0.326,,,,,,,1.43,,,,0.896,,,,,,51.5,41.6,10,,,,,,,,,,,11.5,6.45,,,,1.4,,,,,,,,,0.274,0.163,0.111,
1105CL0175,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/9/2011 1:40:00 PM,Y,A,381,,,,,,,,,,,,2.4,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,,,,72,,,,,8.2,684,,,,,,,0.152,,,0.268,,,,,,,1.23,,,,0.649,,,,,,54.1,43.6,10.5,,,,,,,,,,,14.3,5.73,,,,1.5,,,,,,,,,0.214,0.14,0.074,
1105CL0182,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/9/2011 1:40:00 PM,Y,A,381,,,,,,,,,,,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105CL1215,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/11/2011,Y,A,381,,,,,,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105CL0215,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/11/2011 7:45:00 AM,Y,A,381,,,,,,,,,,,7.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,0.046,,486,,67,,,183,2.09,8.33,712,,,,217,L0.4,,0.133,0.064,,0.197,,,,,,,1.16,,,,0.497,,,,,,53.5,43.9,9.7,,,,,,,,,,,12,6.95,330,,,1.4,,,,,167,,,39.2,0.201,0.132,0.069,
1105CL0264,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/13/2011 12:00:00 PM,Y,A,381,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105CL0235,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/13/2011 1:30:00 PM,Y,A,381,,,,,,,,,,,,2.2,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,90,,,,,8.27,705,,,,,,,0.14,,,0.21,,,,,,,1.22,,,,0.369,,,,,,55.7,44.9,10.8,,,,,,,,,,,15.5,5.25,,,,1.5,,,,,,,,,0.193,0.137,0.056,
1105CL0274,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/16/2011 10:00:00 AM,Y,A,381,,,,,,,,,,,,1.9,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,,79,,,,,8.33,729,,,,,,,0.111,,,0.209,,,,,,,1.26,,,,0.286,,,,,,59.1,48,11.1,,,,,,,,,,,14.1,4.85,,,,1.5,,,,,,,,,0.173,0.137,0.036,
1105CL0284,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/16/2011 11:50:00 AM,Y,A,381,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105CL0294,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/18/2011 11:07:00 AM,Y,A,381,,,,,,,,,,,,1.7,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,70,,,,,8.22,742,,,,,,,0.116,,,0.167,,,,,,,1.19,,,,0.205,,,,,,59.4,48.7,10.7,,,,,,,,,,,17.4,4.28,,,,1.6,,,,,,,,,0.139,0.11,0.029,
1105CL0338,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/20/2011 9:50:00 AM,Y,A,381,,,,,,,,,,,,1.8,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,,70,,,,,8.29,755,,,,,,,0.106,,,0.158,,,,,,,4.01,,,,0.149,,,,,,59.8,48.5,11.3,,,,,,,,,,,L0.6,30.3,,,,1,,,,,,,,,0.146,0.137,L0.014,
1105CL0360,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/24/2011 10:35:00 AM,Y,A,381,,,,,,,,,,,,3,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,,,,86,,,,,8.26,781,,,,,,,0.18,,,0.299,,,,,,,1.6,,,,0.581,,,,,,63.7,51.9,11.8,,,,,,,,,,,6.11,8.06,,,,1.3,,,,,,,,,0.216,0.159,0.057,
1105CL0366,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/24/2011 10:35:00 AM,Y,A,381,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105CL0412,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/31/2011 11:00:00 AM,Y,A,381,,,,,,,,,,,,2.3,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084,,,,116,,,,,8.38,757,,,,,,,0.158,,,0.232,,,,,,,1.42,,,,0.425,,,,,,68,55.1,12.8,,,,,,,,,,,5.35,3.07,,,,1.4,,,,,,,,,0.208,0.157,0.051,
1105CL0420,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,5/31/2011 11:00:00 AM,Y,A,381,,,,,,,,,,,,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106CL0021,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,6/9/2011 8:30:00 AM,Y,A,381,,,,,,,,,,,7.1,1.4,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,0.058,,604,,150,,,230,14,8.67,789,,,,260,L0.4,,0.175,0.129,,0.304,,,,,,,0.93,,,,0.949,,,,,,66.9,53.5,13.5,,,,,,,,,,,5.16,2.33,400,,,1.5,,,,,199,,,40.6,0.242,0.169,0.073,
1106CL0028,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,6/9/2011 8:30:00 AM,Y,A,381,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107CL0054,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,7/7/2011 10:10:00 AM,Y,A,381,,,,,,12.7,,,,,5.5,1.1,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,0.058,,556,,142,,,184,2.94,8.38,757,,,,214,L0.4,,0.22,0.078,,0.298,,,,,,,1.7,,,,3,,,,,,54.3,41.6,,,,,,,,,,,,4.2,1.28,413,,,1.5,,,,,198,,,44.6,0.318,0.211,0.107,
1107CL0061,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,7/7/2011 10:10:00 AM,Y,A,381,,,,,,,,,,,,,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108CL0082,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,8/3/2011 9:10:00 AM,Y,A,381,,,,,,13.8,,,,,6.2,L1,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0.028,,658,,198,,,239,7.26,8.49,836,,,,274,L0.4,,0.293,0.152,,0.445,,,,,,,1.45,,,,0.346,,,,,,69.2,55.4,,,,,,,,,,,,1.91,2.77,463,,,1.3,,,,,228,,,39,0.378,0.346,0.032,
1109CL0008,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,9/6/2011 8:45:00 AM,Y,A,381,,,,,,10,,,,,7.2,L1,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,0.022,,602,,298,,,251,18.8,8.7,891,,,,261,L0.4,,0.294,0.284,,0.578,,,,,,,1.53,,,,0.321,,,,,,68.2,58.1,,,,,,,,,,,,3.63,4.53,460,,,1.3,,,,,219,,,31.3,0.483,0.267,0.216,
1110EW0063,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,10/3/2011 3:55:00 PM,Y,A,381,,,,,,10.4,,,,,9.9,1.1,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,0.017,,660,,54,,,255,8.11,8.48,895,,,,291,L0.4,,0.187,0.047,,0.234,,,,,,,1.27,,,,0.378,,,,,,67.5,57.1,,,,,,,,,,,,25.4,8.69,403,,,1.5,,,,,236,,,20.2,0.217,0.216,L0.014,
1111CL0008,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,11/2/2011 2:30:00 PM,Y,A,381,,,,,,11,,,,,L0.1,2,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,L0.01,,538,,32,,,256,13.4,8.59,781,,,,280,L0.4,,0.095,0.081,,0.175,,,,,,,1.1,,,,L0.05,,,,,,65.8,54.8,,,,,,,,,,,,51,7.56,347,,,1.6,,,L0.005,,154,,,14.3,0.162,0.075,0.088,
1111EW0011,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,11/3/2011 11:00:00 AM,Y,A,381,,,,,,11.4,,,,,12.4,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,L0.01,,550,,29,,,255,11.9,8.56,786,,,,282,L0.4,,0.095,0.047,,0.142,,,,,,,1.07,,,,L0.05,,,,,,66.1,54.7,,,,,,,,,,,,39.9,5.94,357,,,1.6,,,L0.005,,153,,,15.4,0.119,0.094,0.025,
1111EW0021,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,11/7/2011 10:30:00 AM,Y,A,381,,,,,,11.4,,,,,12.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,L0.01,,564,,47,,,252,11.8,8.56,765,,,,279,L0.4,,0.093,0.075,,0.168,,,,,,,1.24,,,,0.061,,,,,,67.5,56.2,,,,,,,,,,,,54,5.44,328,,,1.6,,,,,160,,,14.2,0.144,0.081,0.063,
1111EW0031,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,11/9/2011 10:20:00 AM,Y,A,381,,,,,,12.2,,,,,10.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,L0.01,,520,,21,,,252,10.9,8.55,758,,,,280,L0.4,,0.083,0.054,,0.137,,,,,,,1.14,,,,L0.05,,,,,,67.7,55.5,,,,,,,,,,,,45.8,6.3,329,,,1.6,,,0.0417,,157,,,14.2,0.104,0.076,0.028,
1111EW0041,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,11/14/2011 10:45:00 AM,Y,A,381,,,,,,9.9,,,,,12.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,L0.01,,560,,27,,,252,14.5,8.65,847,,,,274,L0.4,,0.084,0.032,,0.116,,,,,,,1.06,,,,0.107,,,,,,64.4,54.5,,,,,,,,,,,,39.7,3.59,364,,,1.6,,,,,155,,,13.4,0.102,0.076,0.026,
1111EW0051,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,11/16/2011 12:30:00 PM,Y,A,381,,,,,,11.9,,,,,10,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,L0.01,,534,,31,,,248,9.23,8.52,770,,,,281,L0.4,,0.079,0.045,,0.124,,,,,,,1.02,,,,0.086,,,,,,66.6,54.8,,,,,,,,,,,,41.4,3.61,357,,,1.6,,,,,144,,,12.9,0.106,0.065,0.041,
1111EW0061,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,11/21/2011 10:00:00 AM,Y,A,381,,,,,,11.1,,,,,14.5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,L0.01,,518,,21,,,254,10,8.5,800,,,,289,L0.4,,0.057,0.05,,0.107,,,,,,,1.08,,,,0.072,,,,,,67.2,56.1,,,,,,,,,,,,43.1,3.09,383,,,1.7,,,,,149,,,14.3,0.099,0.059,0.04,
1111EW0064,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,11/23/2011 9:00:00 AM,Y,A,381,,,,,,10.6,,,,,15.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,L0.01,,570,,16,,,258,9.16,8.52,878,,,,293,L0.4,,0.074,0.038,,0.112,,,,,,,1.11,,,,0.073,,,,,,66.3,55.6,,,,,,,,,,,,49.6,3.15,321,,,1.7,,,,,159,,,14.2,0.096,0.066,0.03,
1112EW0019,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,12/13/2011 9:30:00 AM,Y,A,381,,,,,,11.6,,,,,14.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,0.014,,586,,12,,,276,11.3,8.53,839,,,,309,L0.4,,0.117,0.038,,0.155,,,,,,,0.97,,,,0.163,,,,,,73.5,62,,,,,,,,,,,,49.1,5.06,343,,,1.6,,,,,162,,,10.1,0.134,0.102,0.032,
1201CL0008,MB05OCS004,RED RIVER,RED RIVER AT SOUTH GATE OF FLOODWAY,49.7506,-97.13333,0.0,2.0,1/4/2012 8:50:00 AM,Y,A,381,,,,,,10.2,,,,,13.6,L1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02,0.014,,548,,6,,,284,2.3,8.32,824,,,,341,L0.4,,0.068,0.02,,0.088,,,,,,,0.91,,,,0.249,,,,,,75.6,65.4,,,,,,,,,,,,22.1,4.05,377,,,1.6,,,,,139,,,8.9,0.079,0.06,0.018,
