NUMBER,ANAL,SAMPLED,SAMPLET,TYPE,DESCRIP,CLIENT,LOCATION,SUBLOC,STATION,DEPTH,NO3,NO2,NH4,SUSPN,TDN,SRP,SUSPP,TDP,DOC,SUSPC,GF_CHL,HPLC_CHLA,COND,PH,Comments for DOC,Project name
,,,,,,,,,,,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µmol/L,µg/L,µg/L,µg/L,µS/cm @25°C,,,DEPTH
4733.0,M,9/27/2017,08:54,LA,MANITOBA,HERBERT,LMB,,168935,0,,,,189,564,32,13,37,1171,1710,4.93,3.69,955,8.60,,DEPTH
4734.0,M,9/27/2017,09:24,LA,MANITOBA,HERBERT,LMB,,166947,0,,,,151,603,18,12,22,1216,1590,3.98,2.87,960,8.59,,DEPTH
4735.0,M,9/27/2017,12:00,LA,MANITOBA,HERBERT,FFR,,FR1,0,,,,322,611,21,20,23,1226,3650,7.20,5.52,930,8.63,,DEPTH
4736.0,M,9/27/2017,13:35,LA,MANITOBA,HERBERT,LMB,,137886,0,,,,250,622,66,16,72,1234,3160,9.28,6.93,934,8.62,,DEPTH
4737.0,M,9/27/2017,13:40,LA,MANITOBA,HERBERT,LMB,,137886,0,,,,279,576,11,18,14,1195,3440,9.96,7.34,931,8.63,,DEPTH
4738.0,M,9/27/2017,14:23,LA,MANITOBA,HERBERT,LMB,,145886,0,,,,250,574,9,16,12,1165,3370,8.62,6.04,927,8.63,,DEPTH
4739.0,M,9/27/2017,17:51,LA,MANITOBA,HERBERT,LMB,,116879,0,,,,232,630,32,13,36,1185,2840,7.53,5.55,953,8.64,,DEPTH
4740.0,M,9/27/2017,18:44,LA,MANITOBA,HERBERT,LMB,,099881,0,,,,256,672,2,17,6,1217,3050,9.20,7.11,988,8.67,,DEPTH
4741.0,M,9/27/2017,19:13,LA,MANITOBA,HERBERT,LMB,NAR,NAR1,0,,,,241,649,43,17,46,1235,3010,8.40,6.25,992,8.66,,DEPTH
4742.0,M,9/29/2017,09:48,LA,MANITOBA,HERBERT,LMB,,041823,0,,,,349,616,19,46,28,1052,3790,25.27,19.75,1018,8.69,,DEPTH
4743.0,M,9/29/2017,09:51,LA,MANITOBA,HERBERT,LMB,,041823,5.2,,,,384,645,30,47,41,1073,3890,25.38,19.17,1020,8.69,,DEPTH
4744.0,M,9/29/2017,10:40,LA,MANITOBA,HERBERT,LMB,,038808,0,,,,392,557,20,49,30,1100,3900,28.28,21.28,1026,8.69,,DEPTH
4745.0,M,9/29/2017,10:41,LA,MANITOBA,HERBERT,LMB,,038808,4.5,,,,436,583,19,52,30,1074,4060,29.19,22.23,1028,8.68,,DEPTH
4746.0,M,9/29/2017,11:23,LA,MANITOBA,HERBERT,LMB,,036796,0,,,,368,641,15,27,23,1089,3750,17.42,13.95,1024,8.71,,DEPTH
4747.0,M,9/29/2017,15:00,LA,MANITOBA,HERBERT,LMB,,034840,0,,,,421,551,19,55,27,1069,3560,29.84,23.35,1024,8.70,,DEPTH
4748.0,M,9/29/2017,15:02,LA,MANITOBA,HERBERT,LMB,,034840,5.1,,,,491,673,13,65,23,1032,4150,34.18,26.49,1032,8.67,,DEPTH
4749.0,M,9/29/2017,15:49,LA,MANITOBA,HERBERT,LMB,,027854,0,,,,427,618,19,50,31,1067,4010,27.57,21.18,974,8.70,,DEPTH
4750.0,M,9/26/2017,17:22,LA,MANITOBA,HERBERT,LMB,,066840,0,,,,318,N/S,N/S,36,N/S,,3140,18.23,12.57,985,8.67,,DEPTH
